web-scraper-order,date_price,date_debut,date_fin,prix_init,prix_actuel,typologie,n_offre,nom,localite,date_debut-jour,Nb semaine
1692657749-11,01/05/2023,25/09/2023,26/09/2023,130,130,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,39
1692657749-12,01/05/2023,25/09/2023,26/09/2023,202,202,Chambre Double Confort,,Coeur de Megève,Megève,,39
1692657749-13,01/05/2023,25/09/2023,26/09/2023,563,563,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,39
1692657749-14,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double,,Albert 1er,Albertville,,39
1692657749-15,01/05/2023,25/09/2023,26/09/2023,124,124,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,39
1692657749-16,01/05/2023,25/09/2023,26/09/2023,194,194,Chambre Double ou Lits Jumeaux,,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,39
1692657749-17,01/05/2023,25/09/2023,26/09/2023,67,67,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,39
1692657749-18,01/05/2023,25/09/2023,26/09/2023,80,80,Chambre Double ou Lits Jumeaux,,La Gelinotte,Les Contamines-Montjoie,,39
1692657749-19,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,39
1692657749-20,01/05/2023,25/09/2023,26/09/2023,481,481,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,39
1692657749-21,01/05/2023,25/09/2023,26/09/2023,146,146,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,39
1692657749-22,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double,,Logis Hôtel Le Caprice Des Neiges,Combloux,,39
1692657749-23,01/05/2023,25/09/2023,26/09/2023,939,939,Suite,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,39
1692657749-24,01/05/2023,25/09/2023,26/09/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,39
1692657749-25,01/05/2023,25/09/2023,26/09/2023,192,192,Chambre Double,,Aux Ducs de Savoie,Combloux,,39
1692657749-26,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double ou Lits Jumeaux,,Hôtel le Christiania,Arêches,,39
1692657749-27,01/05/2023,25/09/2023,26/09/2023,64,64,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,39
1692657749-28,01/05/2023,25/09/2023,26/09/2023,123,123,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,39
1692657749-29,01/05/2023,25/09/2023,26/09/2023,302,302,Suite avec Balcon,,Hôtel Les Ancolies à Arêches,Arêches,,39
1692657749-30,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,39
1692657749-31,01/05/2023,25/09/2023,26/09/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,39
1692657749-32,01/05/2023,25/09/2023,26/09/2023,489,489,Chambre Double Deluxe,,Flocons de Sel,Megève,,39
1692657749-33,01/05/2023,25/09/2023,26/09/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,39
1692657749-34,01/05/2023,25/09/2023,26/09/2023,73,73,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,39
1692657749-35,01/05/2023,25/09/2023,26/09/2023,117,117,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,39
1692657749-36,01/05/2023,25/09/2023,26/09/2023,130,130,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,39
1692657749-37,01/05/2023,25/09/2023,26/09/2023,202,202,Chambre Double Confort,,Coeur de Megève,Megève,,39
1692657749-38,01/05/2023,25/09/2023,26/09/2023,563,563,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,39
1692657749-39,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double,,Albert 1er,Albertville,,39
1692657749-40,01/05/2023,25/09/2023,26/09/2023,124,124,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,39
1692657749-41,01/05/2023,25/09/2023,26/09/2023,194,194,Chambre Double ou Lits Jumeaux,,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,39
1692657749-42,01/05/2023,25/09/2023,26/09/2023,67,67,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,39
1692657749-43,01/05/2023,25/09/2023,26/09/2023,80,80,Chambre Double ou Lits Jumeaux,,La Gelinotte,Les Contamines-Montjoie,,39
1692657749-44,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,39
1692657749-45,01/05/2023,25/09/2023,26/09/2023,481,481,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,39
1692657749-46,01/05/2023,25/09/2023,26/09/2023,146,146,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,39
1692657749-47,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double,,Logis Hôtel Le Caprice Des Neiges,Combloux,,39
1692657749-48,01/05/2023,25/09/2023,26/09/2023,939,939,Suite,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,39
1692657749-49,01/05/2023,25/09/2023,26/09/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,39
1692657749-50,01/05/2023,25/09/2023,26/09/2023,192,192,Chambre Double,,Aux Ducs de Savoie,Combloux,,39
1692657749-51,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double ou Lits Jumeaux,,Hôtel le Christiania,Arêches,,39
1692657749-52,01/05/2023,25/09/2023,26/09/2023,64,64,Dortoir Mixte ,,Hôtel Maison Doron,Beaufort,,39
1692657749-53,01/05/2023,25/09/2023,26/09/2023,123,123,Chambre Lits Jumeaux,,Hôtel du Grand-Mont,Beaufort,,39
1692657749-54,01/05/2023,25/09/2023,26/09/2023,302,302,Suite avec Balcon,,Hôtel Les Ancolies à Arêches,Arêches,,39
1692657749-55,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double - Vue sur Montagne,,Hôtel Viallet,Arêches,,39
1692657749-56,01/05/2023,25/09/2023,26/09/2023,122,122,Chambre Quadruple Standard,,La Mollinière,Notre-Dame-de-Bellecombe,,39
1692657749-57,01/05/2023,25/09/2023,26/09/2023,489,489,Chambre Double Deluxe,,Flocons de Sel,Megève,,39
1692657749-58,01/05/2023,25/09/2023,26/09/2023,84,84,Chambre Lits Jumeaux Standard,,ULVF La Citadelle de Conflans,Albertville,,39
1692657749-59,01/05/2023,25/09/2023,26/09/2023,73,73,Chambre Lits Jumeaux Standard,,Hôtel Le Savoie,Albertville,,39
1692657749-60,01/05/2023,25/09/2023,26/09/2023,117,117,Chambre Lits Jumeaux Standard,,ibis Styles Albertville,Albertville,,39
1692657749-61,01/05/2023,25/09/2023,26/09/2023,130,130,Chambre Double Classique avec Canapé-Lit,,Novotel Megève Mont-Blanc,Megève,,39
1692657749-62,01/05/2023,25/09/2023,26/09/2023,202,202,Chambre Double Confort,,Coeur de Megève,Megève,,39
1692657749-63,01/05/2023,25/09/2023,26/09/2023,563,563,Chambre Deluxe,,Grand Hotel Soleil d'Or,Megève,,39
1692657749-64,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double,,Albert 1er,Albertville,,39
1692657749-65,01/05/2023,25/09/2023,26/09/2023,124,124,Chambre Double ou Lits Jumeaux Classique,,Le Roma,Albertville,,39
1692657749-66,01/05/2023,25/09/2023,26/09/2023,194,194,Chambre Double ou Lits Jumeaux,,"Chalet-Hôtel La Chemenaz, The Originals Relais (Hotel-Chalet de Tradition)",Les Contamines-Montjoie,,39
1692657749-67,01/05/2023,25/09/2023,26/09/2023,67,67,Chambre Triple,,ibis budget Albertville,Gilly-sur-Isère,,39
1692657749-68,01/05/2023,25/09/2023,26/09/2023,80,80,Chambre Double ou Lits Jumeaux,,La Gelinotte,Les Contamines-Montjoie,,39
1692657749-69,01/05/2023,25/09/2023,26/09/2023,93,93,Chambre Double - Accessible aux Personnes à Mobilité Réduite ,,Brit Hotel Florimont,Saint-Ferréol,,39
1692657749-70,01/05/2023,25/09/2023,26/09/2023,481,481,Chambre Double Deluxe avec Balcon,,Magic Megève Bois,Demi-Quartier,,39
1692657749-71,01/05/2023,25/09/2023,26/09/2023,146,146,Chambre Double ou Lits Jumeaux Supérieure avec Terrasse,,Hôtel Arbois Bettex,Saint-Gervais-les-Bains,,39
1692657749-72,01/05/2023,25/09/2023,26/09/2023,111,111,Chambre Double,,Logis Hôtel Le Caprice Des Neiges,Combloux,,39
1692657749-73,01/05/2023,25/09/2023,26/09/2023,939,939,Suite,,"Armancette Hôtel, Chalets & Spa – The Leading Hotels of the World",Saint-Gervais-les-Bains,,39
1692657749-74,01/05/2023,25/09/2023,26/09/2023,79,79,Chambre Double Standard,,"Hôtel de Genève , Faverges-Seythenex 74210, Haute Savoie",Faverges,,39
1692657749-75,01/05/2023,25/09/2023,26/09/2023,192,192,Chambre Double,,Aux Ducs de Savoie,Combloux,,39
1692657749-76,01/05/2023,25/09/2023,26/09/2023,81,81,Chambre Double,,Hôtel National,Cluses,,39
1692657749-77,01/05/2023,25/09/2023,26/09/2023,103,103,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,39
1692657749-78,01/05/2023,25/09/2023,26/09/2023,94,94,Chambre Double Confort,,Hôtel 4C,Cluses,,39
1692657749-79,01/05/2023,25/09/2023,26/09/2023,107,107,Chambre Double,,Edelweiss,Samoëns,,39
1692657749-80,01/05/2023,25/09/2023,26/09/2023,104,104,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,39
1692657749-81,01/05/2023,25/09/2023,26/09/2023,164,164,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,39
1692657749-82,01/05/2023,25/09/2023,26/09/2023,69,69,Chambre Double,,Hotel Edelweiss,Magland,,39
1692657749-83,01/05/2023,25/09/2023,26/09/2023,160,160,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,39
1692657749-84,01/05/2023,25/09/2023,26/09/2023,118,118,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,39
1692657749-85,01/05/2023,25/09/2023,26/09/2023,74,74,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,39
1692657749-86,01/05/2023,25/09/2023,26/09/2023,134,134,Chambre Double ou Lits Jumeaux Classique,,Hôtel Alpina & SPA,Les Gets,,39
1692657749-87,01/05/2023,25/09/2023,26/09/2023,156,156,Chambre Double ou Lits Jumeaux Classique,,Chamois d'Or Hotel,Les Gets,,39
1692657749-88,01/05/2023,25/09/2023,26/09/2023,115,115,Chambre Lit Queen-Size Standard - Non-Fumeurs,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,39
1692657749-89,01/05/2023,25/09/2023,26/09/2023,145,145,Chambre Lits Jumeaux,,Hotel Igloo,Morzine,,39
1692657749-90,01/05/2023,25/09/2023,26/09/2023,178,178,Chambre Double,,Hotel le Petit Dru,Morzine,,39
1692657749-91,01/05/2023,25/09/2023,26/09/2023,110,110,Petite Chambre Double,,Hotel Rhodos Morzine,Morzine,,39
1692657749-92,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Le Charvet,Cordon,,39
1692657749-93,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Bonne Valette,Morzine,,39
1692657749-94,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,39
1692657749-95,01/05/2023,25/09/2023,26/09/2023,202,202,Chambre Double Supérieure,,Hôtel Les Roches Fleuries,Cordon,,39
1692657749-96,01/05/2023,25/09/2023,26/09/2023,108,108,Chambre Double,,Auberge Les Gorges De La Diosaz,Servoz,,39
1692657749-97,01/05/2023,25/09/2023,26/09/2023,121,121,Chambre Double Économique,,Chalet Hôtel des 2 Gares,Saint-Gervais-les-Bains,,39
1692657749-98,01/05/2023,25/09/2023,26/09/2023,77,77,Chambre Lits Jumeaux,,Hotel Terminus,Saint-Gervais-les-Bains,,39
1692657749-99,01/05/2023,25/09/2023,26/09/2023,92,92,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,39
1692657749-100,01/05/2023,25/09/2023,26/09/2023,192,192,Chambre Double,,Aux Ducs de Savoie,Combloux,,39
1692657749-101,01/05/2023,25/09/2023,26/09/2023,81,81,Chambre Double,,Hôtel National,Cluses,,39
1692657749-102,01/05/2023,25/09/2023,26/09/2023,103,103,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,39
1692657749-103,01/05/2023,25/09/2023,26/09/2023,94,94,Chambre Double Confort,,Hôtel 4C,Cluses,,39
1692657749-104,01/05/2023,25/09/2023,26/09/2023,107,107,Chambre Double,,Edelweiss,Samoëns,,39
1692657749-105,01/05/2023,25/09/2023,26/09/2023,104,104,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,39
1692657749-106,01/05/2023,25/09/2023,26/09/2023,164,164,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,39
1692657749-107,01/05/2023,25/09/2023,26/09/2023,69,69,Chambre Double,,Hotel Edelweiss,Magland,,39
1692657749-108,01/05/2023,25/09/2023,26/09/2023,160,160,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,39
1692657749-109,01/05/2023,25/09/2023,26/09/2023,118,118,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,39
1692657749-110,01/05/2023,25/09/2023,26/09/2023,74,74,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,39
1692657749-111,01/05/2023,25/09/2023,26/09/2023,134,134,Chambre Double ou Lits Jumeaux Classique,,Hôtel Alpina & SPA,Les Gets,,39
1692657749-112,01/05/2023,25/09/2023,26/09/2023,156,156,Chambre Double ou Lits Jumeaux Classique,,Chamois d'Or Hotel,Les Gets,,39
1692657749-113,01/05/2023,25/09/2023,26/09/2023,115,115,Chambre Lit Queen-Size Standard - Non-Fumeurs,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,39
1692657749-114,01/05/2023,25/09/2023,26/09/2023,145,145,Chambre Lits Jumeaux,,Hotel Igloo,Morzine,,39
1692657749-115,01/05/2023,25/09/2023,26/09/2023,178,178,Chambre Double,,Hotel le Petit Dru,Morzine,,39
1692657749-116,01/05/2023,25/09/2023,26/09/2023,110,110,Petite Chambre Double,,Hotel Rhodos Morzine,Morzine,,39
1692657749-117,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Le Charvet,Cordon,,39
1692657749-118,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Bonne Valette,Morzine,,39
1692657749-119,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,39
1692657749-120,01/05/2023,25/09/2023,26/09/2023,202,202,Chambre Double Supérieure,,Hôtel Les Roches Fleuries,Cordon,,39
1692657749-121,01/05/2023,25/09/2023,26/09/2023,108,108,Chambre Double,,Auberge Les Gorges De La Diosaz,Servoz,,39
1692657749-122,01/05/2023,25/09/2023,26/09/2023,121,121,Chambre Double Économique,,Chalet Hôtel des 2 Gares,Saint-Gervais-les-Bains,,39
1692657749-123,01/05/2023,25/09/2023,26/09/2023,77,77,Chambre Lits Jumeaux,,Hotel Terminus,Saint-Gervais-les-Bains,,39
1692657749-124,01/05/2023,25/09/2023,26/09/2023,92,92,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,39
1692657749-125,01/05/2023,25/09/2023,26/09/2023,192,192,Chambre Double,,Aux Ducs de Savoie,Combloux,,39
1692657749-126,01/05/2023,25/09/2023,26/09/2023,81,81,Chambre Double,,Hôtel National,Cluses,,39
1692657749-127,01/05/2023,25/09/2023,26/09/2023,103,103,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,39
1692657749-128,01/05/2023,25/09/2023,26/09/2023,94,94,Chambre Double Confort,,Hôtel 4C,Cluses,,39
1692657749-129,01/05/2023,25/09/2023,26/09/2023,107,107,Chambre Double,,Edelweiss,Samoëns,,39
1692657749-130,01/05/2023,25/09/2023,26/09/2023,104,104,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,39
1692657749-131,01/05/2023,25/09/2023,26/09/2023,164,164,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,39
1692657749-132,01/05/2023,25/09/2023,26/09/2023,69,69,Chambre Double,,Hotel Edelweiss,Magland,,39
1692657749-133,01/05/2023,25/09/2023,26/09/2023,160,160,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,39
1692657749-134,01/05/2023,25/09/2023,26/09/2023,118,118,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,39
1692657749-135,01/05/2023,25/09/2023,26/09/2023,74,74,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,39
1692657749-136,01/05/2023,25/09/2023,26/09/2023,134,134,Chambre Double ou Lits Jumeaux Classique,,Hôtel Alpina & SPA,Les Gets,,39
1692657749-137,01/05/2023,25/09/2023,26/09/2023,156,156,Chambre Double ou Lits Jumeaux Classique,,Chamois d'Or Hotel,Les Gets,,39
1692657749-138,01/05/2023,25/09/2023,26/09/2023,115,115,Chambre Lit Queen-Size Standard - Non-Fumeurs,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,39
1692657749-139,01/05/2023,25/09/2023,26/09/2023,145,145,Chambre Lits Jumeaux,,Hotel Igloo,Morzine,,39
1692657749-140,01/05/2023,25/09/2023,26/09/2023,178,178,Chambre Double,,Hotel le Petit Dru,Morzine,,39
1692657749-141,01/05/2023,25/09/2023,26/09/2023,110,110,Petite Chambre Double,,Hotel Rhodos Morzine,Morzine,,39
1692657749-142,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Le Charvet,Cordon,,39
1692657749-143,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Bonne Valette,Morzine,,39
1692657749-144,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,39
1692657749-145,01/05/2023,25/09/2023,26/09/2023,202,202,Chambre Double Supérieure,,Hôtel Les Roches Fleuries,Cordon,,39
1692657749-146,01/05/2023,25/09/2023,26/09/2023,108,108,Chambre Double,,Auberge Les Gorges De La Diosaz,Servoz,,39
1692657749-147,01/05/2023,25/09/2023,26/09/2023,121,121,Chambre Double Économique,,Chalet Hôtel des 2 Gares,Saint-Gervais-les-Bains,,39
1692657749-148,01/05/2023,25/09/2023,26/09/2023,77,77,Chambre Lits Jumeaux,,Hotel Terminus,Saint-Gervais-les-Bains,,39
1692657749-149,01/05/2023,25/09/2023,26/09/2023,92,92,Chambre Double Supérieure,,Le Saint Gervais Hotel & Spa Handwritten Collection,Saint-Gervais-les-Bains,,39
1692657749-150,01/05/2023,25/09/2023,26/09/2023,192,192,Chambre Double,,Aux Ducs de Savoie,Combloux,,39
1692657749-151,01/05/2023,25/09/2023,26/09/2023,81,81,Chambre Double,,Hôtel National,Cluses,,39
1692657749-152,01/05/2023,25/09/2023,26/09/2023,103,103,Chambre Double Standard,,"The Originals City, Hôtel du Faucigny, Cluses Ouest",Scionzier,,39
1692657749-153,01/05/2023,25/09/2023,26/09/2023,94,94,Chambre Double Confort,,Hôtel 4C,Cluses,,39
1692657749-154,01/05/2023,25/09/2023,26/09/2023,107,107,Chambre Double,,Edelweiss,Samoëns,,39
1692657749-155,01/05/2023,25/09/2023,26/09/2023,104,104,Chambre Double Économique,,Le Relais Du Mont Blanc,Magland,,39
1692657749-156,01/05/2023,25/09/2023,26/09/2023,164,164,Chambre Double Supérieure,,La Ferme Du Lac,Thyez,,39
1692657749-157,01/05/2023,25/09/2023,26/09/2023,69,69,Chambre Double,,Hotel Edelweiss,Magland,,39
1692657749-158,01/05/2023,25/09/2023,26/09/2023,160,160,Chambre Double Supérieure avec Douche,,La Croix de Savoie & Spa,Les Carroz d'Arâches,,39
1692657749-159,01/05/2023,25/09/2023,26/09/2023,118,118,Chambre Lits Jumeaux Standard,,Ibis Styles Sallanches Pays du Mont-Blanc,Sallanches,,39
1692657749-160,01/05/2023,25/09/2023,26/09/2023,74,74,Chambre Triple avec Lit Superposé,,Ibis Budget Sallanches,Sallanches,,39
1692657749-161,01/05/2023,25/09/2023,26/09/2023,134,134,Chambre Double ou Lits Jumeaux Classique,,Hôtel Alpina & SPA,Les Gets,,39
1692657749-162,01/05/2023,25/09/2023,26/09/2023,156,156,Chambre Double ou Lits Jumeaux Classique,,Chamois d'Or Hotel,Les Gets,,39
1692657749-163,01/05/2023,25/09/2023,26/09/2023,115,115,Chambre Lit Queen-Size Standard - Non-Fumeurs,,Auberge de l'Orangerie - Sure Hotel Collection by Best Western,Sallanches,,39
1692657749-164,01/05/2023,25/09/2023,26/09/2023,145,145,Chambre Lits Jumeaux,,Hotel Igloo,Morzine,,39
1692657749-165,01/05/2023,25/09/2023,26/09/2023,178,178,Chambre Double,,Hotel le Petit Dru,Morzine,,39
1692657749-166,01/05/2023,25/09/2023,26/09/2023,110,110,Petite Chambre Double,,Hotel Rhodos Morzine,Morzine,,39
1692657749-167,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Le Charvet,Cordon,,39
1692657749-168,01/05/2023,25/09/2023,26/09/2023,109,109,Chambre Double,,Bonne Valette,Morzine,,39
1692657749-169,01/05/2023,25/09/2023,26/09/2023,85,85,Chambre Double - Mansardée,,Chalet Les Rhodos,Cordon,,39
